trajectory_id,time_step,S,I,R
0,0,50,2,0
0,1,50,2,0
0,2,49,3,0
0,3,46,6,0
0,4,43,9,0
0,5,41,10,1
0,6,37,13,2
0,7,33,17,2
0,8,26,23,3
0,9,20,28,4
0,10,14,31,7
0,11,13,26,13
0,12,12,27,13
0,13,8,27,17
0,14,6,26,20
0,15,6,25,21
0,16,5,23,24
0,17,5,20,27
0,18,3,21,28
0,19,3,19,30
0,20,2,18,32
0,21,2,17,33
0,22,2,15,35
0,23,2,12,38
0,24,2,11,39
0,25,2,10,40
0,26,2,10,40
0,27,1,10,41
0,28,1,9,42
0,29,0,10,42
0,30,0,8,44
0,31,0,8,44
0,32,0,7,45
0,33,0,7,45
0,34,0,7,45
0,35,0,7,45
0,36,0,6,46
0,37,0,6,46
0,38,0,6,46
0,39,0,6,46
0,40,0,6,46
0,41,0,6,46
0,42,0,6,46
0,43,0,6,46
0,44,0,6,46
0,45,0,6,46
0,46,0,5,47
0,47,0,4,48
0,48,0,4,48
0,49,0,4,48
0,50,0,4,48
0,51,0,4,48
0,52,0,4,48
0,53,0,4,48
0,54,0,4,48
0,55,0,4,48
0,56,0,4,48
0,57,0,3,49
0,58,0,3,49
0,59,0,3,49
0,60,0,3,49
1,0,66,1,0
1,1,65,2,0
1,2,63,4,0
1,3,62,5,0
1,4,58,8,1
1,5,55,8,4
1,6,50,13,4
1,7,45,18,4
1,8,36,25,6
1,9,27,31,9
1,10,24,32,11
1,11,21,30,16
1,12,15,32,20
1,13,11,34,22
1,14,6,35,26
1,15,4,34,29
1,16,4,30,33
1,17,4,23,40
1,18,4,21,42
1,19,2,20,45
1,20,2,19,46
1,21,1,16,50
1,22,1,15,51
1,23,1,12,54
1,24,1,9,57
1,25,1,7,59
1,26,1,7,59
1,27,1,7,59
1,28,1,7,59
1,29,1,5,61
1,30,1,5,61
1,31,1,5,61
1,32,1,5,61
1,33,1,5,61
1,34,1,5,61
1,35,1,5,61
1,36,0,5,62
1,37,0,5,62
1,38,0,4,63
1,39,0,4,63
1,40,0,2,65
1,41,0,2,65
1,42,0,2,65
1,43,0,2,65
1,44,0,2,65
1,45,0,1,66
1,46,0,1,66
1,47,0,1,66
1,48,0,1,66
1,49,0,1,66
1,50,0,1,66
1,51,0,1,66
1,52,0,1,66
1,53,0,1,66
1,54,0,1,66
1,55,0,1,66
1,56,0,1,66
1,57,0,1,66
1,58,0,1,66
1,59,0,1,66
1,60,0,1,66
2,0,64,2,0
