trajectory_id,time_step,S,I,R
0,0,91,4,0
0,1,89,6,0
0,2,87,8,0
0,3,82,12,1
0,4,79,14,2
0,5,73,19,3
0,6,68,23,4
0,7,55,32,8
0,8,47,36,12
0,9,40,38,17
0,10,36,39,20
0,11,28,44,23
0,12,21,47,27
0,13,15,46,34
0,14,11,44,40
0,15,9,42,44
0,16,8,39,48
0,17,7,39,49
0,18,7,36,52
0,19,6,35,54
0,20,3,35,57
0,21,3,31,61
0,22,3,29,63
0,23,3,27,65
0,24,3,25,67
0,25,2,22,71
0,26,2,21,72
0,27,1,22,72
0,28,1,21,73
0,29,1,21,73
0,30,1,17,77
0,31,1,15,79
0,32,1,14,80
0,33,1,11,83
0,34,1,11,83
0,35,1,11,83
0,36,1,9,85
0,37,1,9,85
0,38,1,9,85
0,39,1,7,87
0,40,1,7,87
0,41,1,6,88
0,42,1,5,89
0,43,1,5,89
0,44,1,5,89
0,45,1,5,89
0,46,1,4,90
0,47,1,3,91
0,48,1,3,91
0,49,1,3,91
0,50,1,3,91
0,51,1,1,93
0,52,1,1,93
0,53,1,1,93
0,54,1,1,93
0,55,1,1,93
0,56,1,1,93
0,57,1,1,93
0,58,1,1,93
0,59,1,1,93
0,60,1,1,93
1,0,66,3,0
1,1,66,2,1
1,2,65,3,1
1,3,64,4,1
1,4,59,9,1
1,5,56,10,3
1,6,50,16,3
1,7,45,19,5
1,8,41,20,8
1,9,35,24,10
1,10,30,27,12
1,11,23,30,16
1,12,21,27,21
1,13,19,29,21
1,14,15,32,22
1,15,12,31,26
1,16,10,32,27
1,17,10,31,28
1,18,9,28,32
1,19,5,31,33
1,20,4,29,36
1,21,4,22,43
1,22,4,22,43
1,23,4,21,44
1,24,4,19,46
1,25,4,17,48
1,26,4,15,50
1,27,3,13,53
1,28,3,13,53
1,29,3,11,55
1,30,3,11,55
1,31,3,10,56
1,32,1,9,59
1,33,1,7,61
1,34,0,8,61
1,35,0,7,62
1,36,0,7,62
1,37,0,7,62
1,38,0,6,63
