trajectory_id,time_step,S,I,R
0,0,63,1,0
0,1,62,2,0
0,2,62,2,0
0,3,61,3,0
0,4,60,4,0
0,5,58,5,1
0,6,54,7,3
0,7,51,9,4
0,8,45,15,4
0,9,40,19,5
0,10,32,26,6
0,11,24,33,7
0,12,15,39,10
0,13,13,37,14
0,14,9,37,18
0,15,7,32,25
0,16,5,32,27
0,17,5,28,31
0,18,3,30,31
0,19,3,27,34
0,20,2,24,38
0,21,2,19,43
0,22,2,16,46
0,23,2,14,48
0,24,2,12,50
0,25,2,11,51
0,26,2,10,52
0,27,2,10,52
0,28,2,9,53
0,29,2,8,54
0,30,2,8,54
0,31,2,7,55
0,32,2,7,55
0,33,1,8,55
0,34,1,7,56
0,35,1,7,56
0,36,1,7,56
0,37,1,6,57
0,38,1,6,57
0,39,1,5,58
0,40,1,4,59
0,41,1,4,59
0,42,1,3,60
0,43,1,3,60
0,44,1,3,60
0,45,1,3,60
0,46,1,3,60
0,47,1,3,60
0,48,1,3,60
0,49,1,3,60
0,50,1,3,60
0,51,1,2,61
0,52,1,2,61
0,53,1,2,61
0,54,1,2,61
0,55,1,1,62
0,56,1,1,62
0,57,1,1,62
0,58,1,1,62
0,59,1,0,63
0,60,1,0,63
1,0,96,1,0
1,1,96,1,0
1,2,94,3,0
1,3,93,4,0
1,4,89,8,0
1,5,88,7,2
1,6,84,10,3
1,7,79,14,4
1,8,75,17,5
1,9,66,22,9
1,10,59,26,12
1,11,53,31,13
1,12,43,40,14
1,13,37,40,20
1,14,25,50,22
1,15,22,51,24
1,16,17,50,30
1,17,12,49,36
1,18,9,47,41
1,19,7,45,45
1,20,7,40,50
1,21,5,37,55
1,22,5,32,60
1,23,5,27,65
1,24,4,26,67
1,25,3,26,68
1,26,3,22,72
1,27,2,21,74
1,28,2,20,75
1,29,2,19,76
1,30,2,17,78
1,31,1,18,78
1,32,1,15,81
1,33,1,13,83
1,34,1,12,84
1,35,1,7,89
1,36,1,7,89
1,37,1,6,90
1,38,1,4,92
1,39,1,4,92
1,40,1,4,92
1,41,1,3,93
1,42,1,3,93
1,43,1,3,93
1,44,1,3,93
1,45,1,2,94
1,46,1,1,95
1,47,1,1,95
1,48,1,1,95
1,49,1,1,95
1,50,1,1,95
1,51,1,1,95
1,52,1,1,95
1,53,0,2,95
1,54,0,2,95
1,55,0,2,95
1,56,0,2,95
1,57,0,2,95
1,58,0,2,95
1,59,0,2,95
1,60,0,2,95
2,0,67,5,0
2,1,63,8,1
2,2,58,13,1
2,3,53,16,3
2,4,50,17,5
2,5,43,23,6
2,6,39,25,8
2,7,32,31,9
2,8,25,32,15
2,9,18,34,20
2,10,13,37,22
2,11,12,36,24
2,12,12,33,27
2,13,6,36,30
2,14,4,38,30
2,15,3,32,37
2,16,2,31,39
2,17,1,30,41
2,18,1,26,45
2,19,1,23,48
2,20,1,18,53
2,21,1,15,56
2,22,0,15,57
2,23,0,13,59
2,24,0,12,60
2,25,0,11,61
2,26,0,10,62
2,27,0,10,62
2,28,0,8,64
2,29,0,7,65
2,30,0,4,68
2,31,0,4,68
2,32,0,3,69
2,33,0,3,69
2,34,0,2,70
2,35,0,1,71
2,36,0,1,71
2,37,0,1,71
2,38,0,1,71
2,39,0,1,71
2,40,0,1,71
2,41,0,1,71
2,42,0,1,71
2,43,0,1,71
2,44,0,1,71
